topic,tokencount,words
0,1994,"people citizens principles time favor home constitution interest means doctrine"
1,1458,"war act great president democratic farm women established reserve leadership"
2,2432,"favor legislation law tariff end conditions life laws powers secure"
3,1975,"world policy peace nation nations international war men employment human"
4,2378,"states united country development rights purpose present democratic passed administration"
5,1859,"commerce demand service national commission representatives public interstate denounce great"
6,2969,"federal democratic labor pledge public administration agriculture industry laws aid"
7,2791,"government national people system states private interests adequate make protection"
8,1980,"continue economic power security business democracy farm farmers defense work"
9,2893,"party republican congress government made power free control state business"
